                    Sample             Lure                 Taxon           RA Region
data.1        EM13S01.ITS2     alpha_pinene      Epicoccum_nigrum 5.382856e-04   data
data.2        EM13S02.ITS2             C6C8      Epicoccum_nigrum 1.383126e-03   data
data.3       EM13S03.ITS1F     alpha_pinene      Epicoccum_nigrum 2.488181e-04   data
data.4        EM13S03.ITS2     alpha_pinene      Epicoccum_nigrum 1.829994e-04   data
data.5        EM13S04.ITS2             C6C8      Epicoccum_nigrum 2.746310e-03   data
data.6       EM13S05.ITS1F     alpha_pinene      Epicoccum_nigrum 1.453488e-04   data
data.7        EM13S05.ITS2     alpha_pinene      Epicoccum_nigrum 2.741775e-03   data
data.8       EM13S06.ITS1F             C6C8      Epicoccum_nigrum 3.831649e-04   data
data.9        EM13S06.ITS2             C6C8      Epicoccum_nigrum 5.260697e-04   data
data.10      EM13S07.ITS1F             C6C8      Epicoccum_nigrum 1.816141e-02   data
data.11       EM13S07.ITS2             C6C8      Epicoccum_nigrum 4.023996e-02   data
data.12       EM13S09.ITS2             C6C8      Epicoccum_nigrum 1.958625e-02   data
data.13      EM13S10.ITS1F     alpha_pinene      Epicoccum_nigrum 9.332376e-03   data
data.14       EM13S10.ITS2     alpha_pinene      Epicoccum_nigrum 2.423790e-03   data
data.15      EM13S11.ITS1F             Rain      Epicoccum_nigrum 7.643141e-02   data
data.16       EM13S11.ITS2             Rain      Epicoccum_nigrum 1.016490e-01   data
data.17      EM13S12.ITS1F     alpha_pinene      Epicoccum_nigrum 3.870207e-02   data
data.18       EM13S12.ITS2     alpha_pinene      Epicoccum_nigrum 3.698158e-02   data
data.19      EM13S13.ITS1F             C6C8      Epicoccum_nigrum 1.555644e-02   data
data.20       EM13S13.ITS2             C6C8      Epicoccum_nigrum 2.848445e-02   data
data.21      EM13S14.ITS1F             C6C8      Epicoccum_nigrum 6.410256e-03   data
data.22      EM13S15.ITS1F     alpha_pinene      Epicoccum_nigrum 6.414368e-03   data
data.23       EM13S15.ITS2     alpha_pinene      Epicoccum_nigrum 3.102806e-03   data
data.24      EM13S16.ITS1F             Rain      Epicoccum_nigrum 2.694566e-02   data
data.25       EM13S16.ITS2             Rain      Epicoccum_nigrum 4.582895e-02   data
data.26       EM13S17.ITS2             C6C8      Epicoccum_nigrum 1.873975e-03   data
data.27      EM13S18.ITS1F     alpha_pinene      Epicoccum_nigrum 2.977260e-03   data
